S.No,Rounds,College Name,MTECH Course Name,Group,Category,Max GATE Score,Min GATE Score
1314,Round 1,"National Institute of Technology, Rourkela",Atmosphere and Ocean Science,Group 1,OBC,449,400
1315,Round 1,"National Institute of Technology, Rourkela",Atmosphere and Ocean Science,Group 1,EWS,396,362
1316,Round 1,"National Institute of Technology, Rourkela",Atmosphere and Ocean Science,Group 1,OPEN,508,450
1317,Round 1,"National Institute of Technology, Rourkela",Atmosphere and Ocean Science,Group 1,SC,308,272
1318,Round 1,"National Institute of Technology, Rourkela",Atmosphere and Ocean Science,Group 1,ST,256,256
1319,Round 1,"National Institute of Technology, Rourkela",Biomedical Engineering,Group 1,OBC,424,370
1320,Round 1,"National Institute of Technology, Rourkela",Biomedical Engineering,Group 1,EWS,397,397
1321,Round 1,"National Institute of Technology, Rourkela",Biomedical Engineering,Group 1,OPEN,605,491
1322,Round 1,"National Institute of Technology, Rourkela",Biomedical Engineering,Group 1,SC,223,223
1323,Round 1,"National Institute of Technology, Rourkela",Biomedical Engineering,Group 2,OBC,523,523
1324,Round 1,"National Institute of Technology, Rourkela",Biomedical Engineering,Group 2,EWS,524,524
1325,Round 1,"National Institute of Technology, Rourkela",Biomedical Engineering,Group 2,OPEN,615,580
1326,Round 1,"National Institute of Technology, Rourkela",Biomedical Engineering,Group 2,SC,353,353
1327,Round 1,"National Institute of Technology, Rourkela",Biomedical Engineering,Group 3,OBC,493,479
1328,Round 1,"National Institute of Technology, Rourkela",Biomedical Engineering,Group 3,OPEN,566,556
1329,Round 1,"National Institute of Technology, Rourkela",Biotechnology,Group 1,OBC,453,399
1330,Round 1,"National Institute of Technology, Rourkela",Biotechnology,Group 1,EWS,482,448
1331,Round 1,"National Institute of Technology, Rourkela",Biotechnology,Group 1,OPEN,654,563
1332,Round 1,"National Institute of Technology, Rourkela",Information Security,Group 1,EWS,611,608
1333,Round 1,"National Institute of Technology, Rourkela",Information Security,Group 1,OPEN,669,633
1334,Round 1,"National Institute of Technology, Rourkela",Information Security,Group 1,SC,464,437
1335,Round 1,"National Institute of Technology, Rourkela",Information Security,Group 1,ST,304,304
1336,Round 1,"National Institute of Technology, Rourkela",Microwave and Radar Engineering,Group 1,OBC,511,511
1337,Round 1,"National Institute of Technology, Rourkela",Microwave and Radar Engineering,Group 1,EWS,493,493
1338,Round 1,"National Institute of Technology, Rourkela",Microwave and Radar Engineering,Group 1,OPEN,569,541
1339,Round 1,"National Institute of Technology, Rourkela",Microwave and Radar Engineering,Group 1,SC,317,302
1340,Round 1,"National Institute of Technology, Rourkela",Machine Design & Analysis,Group 1,OBC,655,602
1341,Round 1,"National Institute of Technology, Rourkela",Machine Design & Analysis,Group 1,EWS,618,587
1342,Round 1,"National Institute of Technology, Rourkela",Machine Design & Analysis,Group 1,OPEN,705,655
1343,Round 1,"National Institute of Technology, Rourkela",Machine Design & Analysis,Group 1,SC,423,382
1344,Round 1,"National Institute of Technology, Rourkela",Machine Design & Analysis,Group 1,ST,316,316
1345,Round 1,"National Institute of Technology, Rourkela",Mining Engineering,Group 1,OBC,413,382
1346,Round 1,"National Institute of Technology, Rourkela",Mining Engineering,Group 1,EWS,427,385
1347,Round 1,"National Institute of Technology, Rourkela",Mining Engineering,Group 1,OPEN,516,445
1348,Round 1,"National Institute of Technology, Rourkela",Mining Engineering,Group 1,SC,289,280
1349,Round 1,"National Institute of Technology, Rourkela",Mining Engineering,Group 1,ST,246,246
1350,Round 1,"National Institute of Technology, Rourkela",Power Electronics & Drives,Group 1,OBC,619,581
